               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.3262,              2.4816,              1.4553,              0.5455,             0.54362,             0.54524,             0.34555,              1.2187,              1.4552,              1.4882,            0.070045,           0.0033283,           0.0033283
                   1,              1.2986,               1.831,              1.4467,             0.52791,              0.5515,             0.54662,             0.33775,              1.2928,              1.5635,              1.5659,            0.039979,           0.0065957,           0.0065957
                   2,              1.4321,              1.9768,              1.5467,             0.42144,             0.40769,             0.38858,             0.21384,              1.5291,               2.069,              1.8081,           0.0098474,           0.0097971,           0.0097971
                   3,              1.5717,              2.2208,              1.6744,             0.40983,             0.42825,             0.39428,             0.22974,              1.5052,              1.8951,              1.8086,            0.009703,            0.009703,            0.009703
                   4,              1.5357,              2.1358,              1.6594,             0.58044,             0.36355,             0.40344,             0.23063,              1.4967,               1.981,              1.8051,            0.009703,            0.009703,            0.009703
                   5,              1.4966,              2.0638,              1.6392,             0.51137,             0.46595,             0.47761,             0.29101,              1.4005,              1.7517,              1.6927,            0.009604,            0.009604,            0.009604
                   6,              1.4543,              1.9808,              1.6077,             0.48262,             0.49411,             0.46954,             0.27858,              1.4045,              1.8295,              1.6825,            0.009505,            0.009505,            0.009505
                   7,              1.4409,              1.9153,              1.5865,             0.55305,             0.54059,             0.55695,             0.33928,              1.3535,              1.5497,              1.6453,            0.009406,            0.009406,            0.009406
                   8,              1.4034,              1.8192,              1.5558,             0.59201,              0.5814,             0.59873,              0.3704,              1.3447,              1.4458,              1.6265,            0.009307,            0.009307,            0.009307
                   9,              1.3873,              1.7961,              1.5543,             0.63472,             0.57622,             0.61834,             0.38254,              1.3284,              1.4316,              1.6194,            0.009208,            0.009208,            0.009208
                  10,              1.3765,              1.7544,              1.5428,             0.57783,             0.58319,             0.59874,             0.38014,              1.3145,              1.4782,              1.6088,            0.009109,            0.009109,            0.009109
                  11,              1.3618,              1.7289,              1.5348,             0.61958,             0.60209,             0.64517,             0.40117,              1.2977,               1.384,              1.5887,             0.00901,             0.00901,             0.00901
                  12,               1.343,              1.6868,              1.5177,              0.6547,             0.58431,             0.65131,             0.41045,                1.28,              1.3716,              1.5704,            0.008911,            0.008911,            0.008911
