               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              1.1414,              3.0802,              1.4726,             0.34431,             0.30414,             0.23561,             0.13905,              1.3982,               2.679,              2.0777,            0.070448,           0.0032836,           0.0032836
                   1,             0.92222,              2.0861,              1.3051,             0.75723,             0.43213,             0.51373,             0.28888,              1.3628,              2.1137,               1.969,            0.040317,           0.0064859,           0.0064859
                   2,             0.84049,              1.8196,              1.2719,             0.67386,             0.58666,             0.64513,             0.40889,               1.318,              1.6863,              1.9269,            0.010054,           0.0095562,           0.0095562
                   3,             0.89596,              1.7871,              1.2768,             0.52613,             0.52468,             0.53774,             0.31785,              1.5784,              2.0562,              2.3351,            0.009406,            0.009406,            0.009406
                   4,             0.89771,              1.6355,              1.2902,             0.67429,             0.56834,             0.57574,              0.3265,              1.5047,              1.6519,              2.1767,            0.009406,            0.009406,            0.009406
                   5,             0.91476,              1.6055,              1.2842,             0.56334,             0.48611,             0.52212,             0.30418,              1.5396,              1.8534,              2.1519,            0.009208,            0.009208,            0.009208
                   6,             0.91267,              1.5718,              1.2901,              0.7154,             0.48803,             0.52707,             0.29321,              1.5674,              1.7458,              2.2929,             0.00901,             0.00901,             0.00901
                   7,             0.85173,              1.4877,              1.2672,             0.53549,             0.51121,             0.56384,             0.33765,              1.4581,              2.1401,              2.1463,            0.008812,            0.008812,            0.008812
                   8,             0.87675,               1.449,              1.2678,               0.626,             0.53074,             0.61133,             0.31647,               1.762,              1.5977,              2.5084,            0.008614,            0.008614,            0.008614
                   9,             0.86689,              1.3952,              1.2595,             0.64418,             0.57914,             0.63601,             0.37363,              1.4203,              1.5193,              2.0995,            0.008416,            0.008416,            0.008416
                  10,             0.86755,              1.3633,              1.2634,             0.71473,             0.47272,             0.56054,             0.30727,              1.6379,              1.8229,               2.364,            0.008218,            0.008218,            0.008218
                  11,             0.80879,              1.3076,              1.2328,             0.74519,             0.56484,             0.66773,             0.37738,              1.5016,              1.5703,              2.2273,             0.00802,             0.00802,             0.00802
                  12,             0.82678,              1.3344,              1.2529,             0.62088,             0.67399,             0.66652,             0.30846,              1.8669,              1.7939,              2.8142,            0.007822,            0.007822,            0.007822
                  13,              0.7885,              1.2729,              1.2133,             0.71277,             0.54417,             0.63544,              0.3464,              1.5039,              1.7487,              2.1947,            0.007624,            0.007624,            0.007624
                  14,             0.81024,              1.2874,              1.2478,             0.72011,             0.62823,             0.65355,             0.37788,              1.6051,              1.4572,               2.234,            0.007426,            0.007426,            0.007426
                  15,             0.82522,              1.2715,              1.2415,             0.84223,             0.59542,             0.71822,             0.42972,              1.5205,              1.3421,              2.2735,            0.007228,            0.007228,            0.007228
                  16,             0.79383,               1.192,              1.2125,             0.77873,             0.63233,             0.72939,             0.42125,              1.4741,              1.4594,              2.2087,             0.00703,             0.00703,             0.00703
                  17,             0.80065,              1.2272,              1.2236,             0.80929,             0.52971,             0.66585,             0.37301,              1.6192,              1.3926,              2.4866,            0.006832,            0.006832,            0.006832
                  18,             0.79525,               1.207,              1.2314,             0.65101,             0.62385,             0.66822,             0.42674,              1.3284,              1.4257,              1.9534,            0.006634,            0.006634,            0.006634
                  19,             0.77544,              1.1657,              1.2032,             0.86581,             0.78776,             0.82132,                0.46,              1.5373,               1.067,              2.2778,            0.006436,            0.006436,            0.006436
                  20,              0.7698,              1.1214,               1.192,             0.88948,             0.66375,             0.76735,             0.45779,              1.4533,              1.1348,              2.2083,            0.006238,            0.006238,            0.006238
                  21,             0.74833,              1.1177,              1.1877,              0.8645,             0.67978,             0.78406,             0.44069,               1.558,               1.175,              2.3177,             0.00604,             0.00604,             0.00604
                  22,              0.7103,              1.0692,              1.1601,             0.79556,             0.78707,             0.83734,             0.49087,                1.43,              1.0583,              2.1063,            0.005842,            0.005842,            0.005842
                  23,             0.73348,              1.0846,              1.1632,             0.84559,             0.68881,             0.75846,             0.43498,              1.5426,               1.196,              2.1828,            0.005644,            0.005644,            0.005644
                  24,             0.73965,              1.0794,              1.1862,             0.78953,             0.60246,              0.7009,             0.43517,               1.379,              1.3207,              1.9915,            0.005446,            0.005446,            0.005446
                  25,             0.69821,              1.0266,              1.1523,             0.80589,             0.64042,             0.73274,             0.45677,              1.4141,              1.2474,              2.0717,            0.005248,            0.005248,            0.005248
                  26,             0.70793,              1.0179,              1.1643,             0.81659,             0.73243,             0.76946,             0.48951,              1.3361,              1.1928,              1.9282,             0.00505,             0.00505,             0.00505
                  27,             0.73864,              1.0553,              1.1786,             0.80733,             0.72415,              0.7519,             0.47357,              1.3506,              1.2133,              2.0163,            0.004852,            0.004852,            0.004852
                  28,             0.70018,              1.0478,              1.1659,             0.80886,             0.76213,             0.78605,             0.48578,              1.4024,              1.0412,              2.0734,            0.004654,            0.004654,            0.004654
                  29,             0.68516,             0.98043,               1.145,             0.88657,             0.69518,             0.77862,             0.45661,              1.5302,              1.0829,              2.2802,            0.004456,            0.004456,            0.004456
                  30,             0.68878,              1.0233,               1.165,             0.95008,             0.69588,             0.84633,             0.55021,              1.2833,             0.98152,              2.0138,            0.004258,            0.004258,            0.004258
                  31,             0.65535,             0.92194,              1.1427,             0.88251,             0.80176,             0.85944,             0.53784,              1.3058,             0.97194,              2.0435,             0.00406,             0.00406,             0.00406
                  32,             0.68561,             0.93505,              1.1425,             0.78465,             0.80379,              0.8353,             0.52654,              1.1693,              1.0107,              1.7766,            0.003862,            0.003862,            0.003862
                  33,             0.63666,             0.88316,               1.137,              0.8776,               0.804,             0.83545,             0.48888,              1.4457,              1.0603,              2.0583,            0.003664,            0.003664,            0.003664
                  34,             0.64873,             0.92055,              1.1341,              0.7054,             0.76398,              0.7549,             0.47256,              1.3967,              1.0708,               1.963,            0.003466,            0.003466,            0.003466
                  35,             0.67069,             0.95403,              1.1503,             0.79123,             0.81472,             0.82897,             0.51664,              1.3329,             0.95973,              1.9117,            0.003268,            0.003268,            0.003268
                  36,             0.61547,             0.87288,              1.0988,              0.8904,             0.80181,             0.82456,             0.53262,              1.2217,             0.92901,              1.8848,             0.00307,             0.00307,             0.00307
                  37,             0.60529,             0.82644,               1.104,             0.90153,             0.76422,             0.84547,             0.50566,              1.4225,              1.0325,              2.1272,            0.002872,            0.002872,            0.002872
                  38,             0.63894,             0.83682,              1.1065,             0.85859,             0.79199,             0.86307,             0.54837,              1.2315,             0.92179,              1.8662,            0.002674,            0.002674,            0.002674
                  39,             0.62775,             0.86193,              1.1182,             0.87019,             0.78636,             0.84284,             0.52814,                1.33,             0.95952,              1.9802,            0.002476,            0.002476,            0.002476
                  40,             0.60178,               0.805,              1.0789,             0.89406,              0.7282,             0.83127,             0.56719,              1.2054,              0.9474,              1.7974,            0.002278,            0.002278,            0.002278
                  41,             0.60709,             0.80909,              1.1004,             0.92644,             0.77194,             0.86116,             0.51383,              1.4638,             0.97325,              2.1186,             0.00208,             0.00208,             0.00208
                  42,              0.5969,              0.7607,              1.0813,             0.88047,             0.82126,             0.84591,             0.54786,              1.2486,             0.90675,              1.9048,            0.001882,            0.001882,            0.001882
                  43,              0.6007,             0.78006,                1.08,             0.85443,              0.7654,             0.83801,             0.57252,              1.1441,             0.84894,              1.7954,            0.001684,            0.001684,            0.001684
                  44,             0.58184,             0.76243,              1.0734,             0.88288,             0.80083,             0.84957,             0.56818,              1.1786,             0.85009,              1.8303,            0.001486,            0.001486,            0.001486
